Q1_consent,Q2_Over18,Q3_Residentuk,Q1_knowledge,Q2_Knowledge,Q6_Konwledge,Q7_Knowledge,Q8_Knowledge,Q9_Knowledge,Q10_Knowledge,Q1_bisonimpacts,Q2_bisonimpacts,Q3_bisonimpacts,Q4_bisonimpacts,Q5_bisonimpacts,Q6_bisonimpacts,Q7_bisonimpacts,Q8_bisonimpacts,Q9_bisonimpacts,Q10_bisonimpacts,Q11_bisonimpacts,Q12_bisonimpacts,Q1_reintroduction,Q2_reintroduction,Q3_reintroduction,Q4_reintroduction,Q5_reintroduction,Q6_reintroduction,Q7_reintroductionother,Q7_reintroduction,Q22_demoage,Q23_demoage,Q24_demoage,Q25_demoage,Q26_demoage,Q27_demoage,Q28_demoage,Q29_gender,Q30_Ethnicity,Q31_Ethnicityother,Q32_Occupation,Q33_Educationlevel,Q34_Placeofresidence,Q_LocationUK,Q30_wheresurvey,Q30_other
1,1,1,2,2,1,3,1,2,3,2,2,4,2,2,2,2,2,2,2,2,4,1,1,1,1,3,2, ,4,0,0,0,0,1,0,0,1,1, ,27,5,3,7,1, 
1,1,1,2,2,1,3,1,2,3,1,4,5,1,3,1,2,1,1,1,3,2,1,1,1,1,1,2, ,6,0,1,0,0,0,0,0,2,1, ,8,5,2,7,6,email
1,1,1,2,1,1,3,1,2,3,2,2,2,1,4,2,2,1,1,1,1,1,1,1,1,1,2,2, ,10,1,0,0,0,0,0,0,1,1, ,8,6,4,4,1, 
1,1,1,2,2,1,3,1,2,3,3,3,3,2,3,2,3,2,3,2,2,4,2,2,1,1,3,9, ,3,0,0,0,0,0,1,0,1,1, ,7,6,3,7,1, 
1,1,1,2,2,1,3,1,2,3,2,2,5,1,2,2,2,1,2,5,1,2,2,1,3,1,4,2, ,2,0,0,0,0,1,0,0,1,9, ,7,6,2,7,4, 
1,1,1,1,2,2,3,3,4,5,3,3,3,2,3,3,2,1,3,2,3,2,2,2,3,3,2,2, ,3,1,0,0,0,0,0,0,1,4, ,2,5,1,2,4, 
1,1,1,2,2,1,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,4, ,8,0,1,0,0,0,0,0,2,1, ,2,5,1,2,3, 
1,1,1,2,2,1,3,1,2,3,2,2,3,1,1,2,1,1,1,2,2,3,1,1,1,1,3,4, ,4,0,0,1,0,0,0,0,1,1, ,8,5,3,7,6,Through work
1,1,1,2,2,1,3,1,2,3,2,2,5,1,1,2,2,1,1,2,1,1,1,2,1,1,2,5, ,9,1,0,0,0,0,0,0,2,7, ,23,5,1,7,4, 
1,1,1,2,2,1,3,1,2,3,1,4,4,1,2,1,3,1,2,1,2,2,2,1,1,1,3,9, ,6,0,1,0,0,0,0,0,2,1, ,8,6,2,8,3, 
1,1,1,2,2,1,3,2,1,3,2,2,3,3,1,3,2,3,1,3,5,2,3,1,3,3,4,2, ,8,0,0,0,0,0,1,0,2,1, ,8,6,3,8,3, 
2,1,1,2,2,3,3,1,2,3,3,2,4,3,2,2,4,3,4,3,2,3,4,2,2,2,1,4, ,9,0,0,0,0,1,0,0,2,1, ,16,5,1,2,3, 
1,1,1,2,2,1,3,1,2,3,3,3,3,3,4,3,3,3,3,3,2,3,3,2,3,3,4,11,All of the above. One source isnt enough,10,0,0,0,0,1,0,0,2,1, ,8,5,4,10,3, 
1,1,1,2,2,1,3,1,4,5,2,2,3,2,2,3,3,3,2,2,1,2,2,2,3,3,2,11,many sources appropriate,8,0,0,0,0,1,0,0,2,1, ,8,6,2,7,5, 
1,1,1,2,2,1,3,1,2,3,3,2,4,4,4,4,4,3,4,5,2,4,4,1,2,2,1,10, ,9,0,0,1,0,0,0,0,2,1, ,9,5,5,3,3, 
1,1,1,2,2,1,3,1,2,3,3,3,4,3,4,3,3,4,4,4,3,4,4,1,2,2,1,5, ,9,0,0,0,0,1,0,0,1,1, ,8,6,5,6,3, 
1,1,1,2,2,3,3,1,2,3,2,5,5,3,4,3,3,3,4,4,3,4,4,2,2,2,4,11,"All of the above, to ensure everyone knows",9,0,0,1,0,0,0,0,1,1, ,8,5,4,9,3, 
1,1,1,2,2,1,3,1,2,3,2,2,4,2,3,2,3,3,4,2,2,4,3,2,3,3,2,2, ,5,0,0,1,0,0,0,0,1,1, ,8,6,4,8,4, 
1,1,1,2,2,1,3,1,2,3,2,4,4,1,3,2,3,1,1,1,1,4,1,2,1,1,2,3, ,10,0,1,0,0,0,0,0,1,1, ,8,6,3,3,6,Colleague
1,1,1,2,1,1,3,1,2,3,2,2,2,1,2,4,2,1,2,1,1,1,1,1,1,1,1,1, ,8,0,0,0,0,1,0,0,1,9, ,27,6,4,7,4, 
1,1,1,2,2,1,3,1,2,3,2,2,2,1,3,2,2,1,2,1,2,3,1,1,1,1,2,6, ,2,0,1,0,0,0,0,0,3,1, ,2,5,1,8,3, 
1,1,1,2,2,1,3,1,4,3,2,3,3,1,1,2,1,2,2,1,3,3,1,2,1,1,2,4, ,8,0,0,0,0,1,0,0,1,1, ,12,6,4,10,1, 
1,1,1,2,2,1,3,2,2,3,1,2,5,3,2,1,2,1,3,1,1,2,1,2,1,1,2,1, ,2,1,0,0,0,0,0,0,2,1, ,14,4,1,7,4, 
1,1,1,2,2,1,3,1,2,3,1,4,3,1,4,1,3,1,4,1,1,5,1,1,1,1,2,4, ,8,0,1,0,0,0,0,0,2,1, ,16,6,2,9,1, 
1,1,1,2,2,3,3,3,4,5,4,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,3,5, ,2,0,0,1,0,0,0,0,1,1, ,8,6,1,4,4, 
1,1,1,2,2,1,3,1,2,3,2,4,4,1,2,2,3,1,4,2,3,4,1,1,1,1,3,1, ,10,1,0,0,0,0,0,0,1,1, ,27,5,1,7,1, 
1,1,1,2,2,1,3,2,2,3,2,2,4,1,4,2,2,1,4,2,2,4,2,2,1,1,2,2, ,10,1,0,0,0,0,0,0,2,1, ,8,5,2,10,1, 
1,1,1,2,2,1,3,3,2,3,1,2,4,1,4,1,2,1,2,1,1,2,1,1,1,1,3,11,"All of the first nine options, except post.",10,0,1,0,0,0,0,0,1,1, ,8,6,1,2,3, 
1,1,1,2,2,3,3,3,2,3,3,3,4,3,5,3,4,3,3,4,4,3,3,1,2,3,3,9, ,9,0,0,0,1,0,0,0,1,1, ,9,6,5,10,1, 
1,1,1,2,2,3,3,3,4,3,3,3,4,2,3,3,2,2,3,3,3,3,3,2,1,1,4,10, ,10,1,0,0,0,0,0,0,1,1, ,12,5,3,3,4, 
1,1,1,2,3,1,3,1,2,3,2,2,4,4,2,2,4,4,2,2,4,5,3,1,2,3,1,2, ,4,0,0,0,0,1,0,0,2,1, ,27,3,3,7,1, 
1,1,1,2,2,1,3,1,1,3,4,4,4,3,4,4,3,4,4,5,3,4,5,1,2,2,1,4, ,9,0,0,0,0,1,0,0,2,1, ,8,6,2,7,3, 
1,1,1,2,2,1,3,1,1,3,1,3,4,1,4,1,2,1,4,1,1,5,1,1,1,1,3,2, ,5,0,0,1,0,0,0,0,2,1, ,8,5,1,8,1, 
1,1,1,2,2,1,3,1,1,3,2,1,4,2,4,2,3,2,4,3,2,3,2,2,2,1,3,8, ,10,0,0,0,0,0,1,0,2,1, ,27,3,2,3,1, 
1,1,1,2,2,1,3,1,2,3,3,2,2,1,2,2,2,1,2,2,2,4,1,1,1,1,2,3, ,9,0,0,1,0,0,0,0,2,1, ,25,4,3,7,1, 
1,1,1,1,3,1,3,1,2,3,3,3,2,1,3,3,2,1,3,3,2,2,1,1,3,1,3,2, ,4,0,0,0,0,0,1,0,2,4, ,17,5,3,3,1, 
1,1,1,2,1,3,3,1,4,3,2,2,3,1,1,1,2,1,1,1,1,3,1,1,2,1,2,1, ,10,0,0,0,0,0,1,0,2,1, ,27,5,1,2,1, 
1,1,1,2,2,1,3,1,2,3,2,4,4,2,3,2,4,2,4,1,3,5,2,1,2,1,1,4, ,6,0,0,0,0,1,0,0,1,1, ,8,6,5,3,3, 
1,1,1,2,3,1,3,2,1,3,2,1,2,1,3,2,1,1,4,1,1,2,1,2,1,1,2,9, ,10,0,0,0,0,1,0,0,1,1, ,16,5,3,8,4, 
1,1,1,2,2,1,3,1,2,3,3,5,5,3,5,3,5,2,4,3,5,5,4,1,2,1,1,4, ,3,0,0,0,0,1,0,0,2,4, ,8,4,2,7,1, 
1,1,1,2,2,1,3,1,1,3,2,1,4,1,2,2,4,1,2,1,1,2,1,1,1,1,2,7, ,10,0,1,0,0,0,0,0,2,4, ,8,6,1,7,4, 
1,1,1,1,2,2,3,3,2,3,2,3,3,1,3,3,4,1,3,1,3,3,2,2,1,3,2,1, ,3,0,0,1,0,0,0,0,1,1, ,2,6,4,3,1, 
1,1,1,2,2,1,3,1,2,3,2,4,4,4,3,4,4,3,4,4,2,3,4,1,2,2,1,11,I am opposed to the idea,9,0,0,0,1,0,0,0,2,1, ,9,5,5,3,1, 
1,1,1,2,2,1,3,3,1,5,2,2,3,1,2,1,3,1,3,3,2,4,1,1,1,1,2,1, ,8,0,0,0,1,0,0,0,2,1, ,13,6,1,2,1, 
1,1,1,2,2,3,3,1,2,3,2,2,5,4,4,2,2,3,4,4,1,4,2,1,1,1,2,4, ,5,1,0,0,0,0,0,0,2,1, ,14,4,2,8,1, 
1,1,1,2,2,1,3,1,3,3,1,3,2,2,3,1,1,5,5,5,5,5,2,1,1,1,2,2, ,4,0,0,1,0,0,0,0,2,1, ,27,4,3,7,1, 
1,1,1,2,2,1,3,1,3,3,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3, ,8,0,0,1,0,0,0,0,2,1, ,27,5,3,8,1, 
1,1,1,2,2,1,3,1,2,3,2,2,2,1,2,1,2,1,1,1,1,4,1,1,2,1,2,5, ,4,1,0,0,0,0,0,0,2,1, ,7,4,1,8,1, 
1,1,1,2,2,1,3,1,2,3,1,2,4,1,4,1,2,1,2,2,3,3,1,1,1,1,3,3, ,8,0,0,0,0,0,1,0,2,1, ,27,6,3,7,1, 
1,1,1,2,2,1,3,1,2,3,2,3,2,4,1,2,3,1,3,1,1,2,1,2,1,1,2,4, ,2,1,0,0,0,0,0,0,1,2, ,24,6,1,8,1, 
1,1,1,2,2,3,3,3,4,3,3,3,5,3,3,3,3,3,3,3,4,1,3,2,3,3,4,10, ,9,0,0,0,1,0,0,0,5,9, ,7,6,2,7,3, 
1,1,1,2,2,3,3,1,2,3,1,3,4,1,2,3,2,1,3,1,1,2,1,1,1,1,2,4, ,10,0,1,0,0,0,0,0,1,1, ,14,5,1,8,1, 
1,1,1,2,2,1,3,1,2,3,2,4,4,1,3,3,4,1,2,1,1,2,1,1,1,1,3,3, ,2,0,1,0,0,0,0,0,2,1, ,24,6,5,6,1, 
1,1,1,2,2,1,3,1,2,3,2,3,4,2,3,2,4,3,4,3,2,4,3,1,1,1,1,2, ,3,0,1,0,0,0,0,0,1,1, ,8,5,4,7,6,Kent Wildlife Trust staff teams
1,1,1,2,1,3,3,3,2,3,2,3,5,3,2,3,3,2,4,2,2,4,3,1,3,3,3,4, ,10,1,0,0,0,0,0,0,1,1, ,24,5,2,3,4, 
1,1,1,1,2,1,3,1,1,3,1,4,4,1,2,1,1,1,3,1,1,1,1,1,1,1,2,4, ,10,1,0,0,0,0,0,0,1,1, ,24,5,3,8,4, 
1,1,1,2,2,1,3,1,2,3,1,1,4,2,2,1,4,1,2,2,2,2,2,1,1,1,2,1, ,8,0,0,1,0,0,0,0,2,1, ,8,6,4,7,3, 
1,1,1,2,2,1,3,3,2,3,2,2,2,1,3,2,3,1,2,1,3,3,1,1,1,1,2,4, ,3,0,0,0,1,0,0,0,2,1, ,7,5,2,8,1, 
1,1,1,2,2,1,3,3,1,3,1,2,3,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1, ,10,0,1,0,0,0,0,0,2,1, ,18,5,1,2,1, 
1,1,1,2,2,3,3,1,4,3,2,2,3,1,1,2,2,2,2,1,2,3,1,1,1,1,4,2, ,5,0,0,0,0,0,1,0,1,1, ,27,5,3,8,1, 
1,1,1,2,2,1,3,1,2,3,1,2,4,1,4,1,1,1,1,1,1,3,1,1,1,1,2,1,"Email as well as posters, organisation websites",10,0,1,0,0,0,0,0,1,1, ,8,6,3,7,1, 
1,1,1,2,2,1,3,1,1,3,2,3,3,2,3,2,3,2,3,2,2,3,2,1,1,1,4,4, ,2,0,0,0,0,0,1,0,1,1, ,27,5,4,7,1, 
1,1,1,2,2,1,3,1,2,3,1,4,4,2,4,1,4,2,2,2,5,2,2,1,1,1,2,2, ,5,1,0,0,0,0,0,0,1,1, ,24,6,1,7,4, 
1,1,1,2,2,1,3,1,2,3,1,2,3,1,2,1,1,1,1,2,2,2,1,1,1,1,2,1, ,7,0,0,0,0,0,1,0,2,18,No,15,4,2,7,1, 
1,1,1,2,2,2,3,3,2,3,1,3,2,1,1,1,3,1,2,1,1,3,1,2,1,1,2,2, ,10,0,1,0,0,0,0,0,1,1, ,23,5,4,8,1, 
2,1,1,2,2,1,3,3,1,5,1,3,2,1,2,1,3,1,2,2,2,2,1,1,1,1,2,2, ,8,0,1,0,0,0,0,0,2,1, ,8,6,2,1,1, 
1,1,1,2,2,3,3,1,2,3,2,2,3,1,1,1,3,1,1,1,1,2,1,1,1,1,2,2, ,2,0,0,0,0,0,1,0,2,1, ,27,5,1,3,1, 
1,1,1,2,2,1,3,1,2,3,2,4,4,2,4,2,2,1,2,1,1,4,1,1,1,1,2,4, ,8,0,1,0,0,0,0,0,2,1, ,24,6,1,2,1, 
1,1,1,2,2,1,3,3,4,3,2,3,4,2,2,2,2,2,3,2,1,2,2,2,1,1,3,3, ,5,1,0,0,0,0,0,0,1,4, ,24,6,3,8,1, 
1,1,1,2,3,3,3,3,2,3,2,3,3,1,3,2,2,1,3,2,2,1,2,1,1,1,1,3, ,5,0,1,0,0,0,0,0,1,1, ,7,5,1,2,4, 
1,1,1,5,3,3,4,3,4,5,2,2,3,3,1,2,1,2,3,2,2,1,2,2,1,1,3,10, ,3,0,0,0,0,1,0,0,2,1, ,27,3,4,4,4, 
1,1,1,2,2,1,3,3,2,3,2,3,3,1,2,2,3,1,2,1,2,2,1,1,1,1,3,11,I want all of the above,10,1,0,0,0,0,0,0,3,1, ,14,5,1,4,4, 
1,1,1,2,2,1,3,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,11,A parade,10,1,0,0,0,0,0,0,2,1, ,2,5,1,2,1, 
1,1,1,2,2,1,3,1,4,3,3,4,4,2,4,2,4,2,3,3,3,4,3,1,2,1,1,6, ,2,1,0,0,0,0,0,0,1,1, ,9,6,5,10,4, 
1,1,1,2,2,1,3,1,2,3,2,2,3,1,1,2,3,1,3,1,1,3,1,1,1,1,2,2, ,3,1,0,0,0,0,0,0,2,1, ,14,5,1,7,1, 
1,1,1,2,2,3,3,1,2,3,2,1,3,2,1,2,2,1,3,1,1,2,1,2,1,1,2,6, ,10,1,0,0,0,0,0,0,1,1, ,2,6,2,9,4, 
1,1,1,2,2,1,3,3,2,3,4,4,4,2,4,4,3,2,5,4,4,4,2,2,1,1,2,4, ,9,1,0,0,0,0,0,0,1,1, ,7,5,1,4,1, 
1,1,1,2,1,1,3,1,1,3,2,4,2,2,2,3,2,1,4,1,2,2,1,1,1,1,2,4, ,2,1,0,0,0,0,0,0,1,1, ,24,6,3,1,1, 
1,1,1,2,3,1,3,1,2,3,2,3,2,2,3,2,2,1,2,2,2,2,2,2,1,1,3,6, ,5,1,0,0,0,0,0,0,1,1, ,24,5,4,10,1, 
1,1,1,5,1,1,3,2,2,5,2,2,3,3,2,3,3,4,3,4,2,3,2,2,1,1,2,3, ,2,1,0,0,0,0,0,0,2,7, ,14,5,1,7,1, 
1,1,1,2,2,1,3,2,2,3,2,3,3,2,2,2,2,2,3,3,2,2,2,2,1,1,2,2, ,2,1,0,0,0,0,0,0,1,1, ,7,5,1,7,1, 
1,1,1,2,2,3,3,3,2,5,3,4,2,2,2,2,3,2,2,3,2,2,2,2,1,1,3,6, ,1,1,0,0,0,0,0,0,1,4, ,9,5,1,2,1, 
1,1,2,5,3,3,4,3,2,5,2,3,4,2,2,3,3,3,3,2,1,3,2,2,1,1,2,10, ,2,1,0,0,0,0,0,0,1,7, ,24,6,1,7,1, 
1,1,1,2,3,1,3,3,2,5,2,3,3,3,2,3,3,3,3,2,1,3,2,2,3,3,2,2, ,5,1,0,0,0,0,0,0,1,1, ,24,5,1,6,1, 
1,1,1,2,2,1,3,2,2,4,2,4,2,3,2,1,2,2,3,1,2,4,1,2,2,1,3,2, ,8,1,0,0,0,0,0,0,2,1, ,2,5,1,4,1, 
1,1,1,2,2,1,3,1,2,3,2,4,5,4,4,3,5,5,5,3,3,5,5,2,2,2,3,2, ,9,0,1,0,0,0,0,0,1,6, ,8,6,1,1,6,University mailing list
1,1,1,2,3,3,3,1,3,4,2,3,4,2,3,2,2,2,3,2,1,4,2,2,3,1,3,6, ,9,1,0,0,0,0,0,0,2,1, ,14,4,2,7,1, 
1,1,1,2,2,1,3,1,2,3,1,1,1,1,1,1,1,1,4,1,1,2,1,1,1,1,2,4, ,5,1,0,0,0,0,0,0,2,1, ,17,6,5,3,2, 
1,1,1,2,2,3,3,3,2,3,2,3,3,2,1,2,3,2,3,2,2,3,1,2,1,1,2,5, ,3,1,0,0,0,0,0,0,1,1, ,24,5,3,7,2, 
1,1,1,2,1,3,3,3,2,3,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,3,2, ,8,0,0,0,1,0,0,0,1,7, ,27,5,2,7,1, 
1,1,1,2,3,1,3,3,2,5,2,3,3,3,4,3,4,3,3,3,2,3,2,2,3,1,3,2, ,9,0,0,1,0,0,0,0,1,1, ,7,6,2,7,4, 
1,1,1,5,3,3,4,3,4,5,2,1,4,1,4,4,2,1,4,2,4,1,2,2,3,1,3,2, ,1,1,0,0,0,0,0,0,1,1, ,24,6,1,1,1, 
1,1,1,2,2,2,3,2,1,3,2,4,4,3,4,3,2,2,5,2,2,3,2,2,2,1,2,4, ,10,1,0,0,0,0,0,0,2,4, ,24,6,1,7,4, 
1,1,1,2,2,3,3,1,1,3,2,2,3,3,2,3,3,2,4,2,3,3,2,2,1,1,3,2, ,2,1,0,0,0,0,0,0,1,1, ,14,6,1,8,1, 
1,1,1,2,2,1,3,1,2,3,3,2,2,2,4,2,2,2,1,2,3,4,2,2,1,1,3,1, ,2,0,0,0,0,1,0,0,2,1, ,27,4,3,7,1, 
1,1,1,2,2,1,3,1,2,3,3,2,4,3,4,3,3,3,3,4,5,4,4,2,2,2,1,8, ,9,0,0,0,0,0,1,0,1,1, ,27,4,4,8,1, 
1,1,1,2,2,3,3,2,2,3,2,3,4,2,3,3,1,2,2,2,2,2,2,2,1,1,3,2, ,3,0,1,0,0,0,0,0,1,1, ,13,5,1,3,1, 
1,1,1,2,2,1,3,3,4,3,1,2,3,2,1,2,2,1,4,1,1,2,1,1,1,1,2,4, ,10,1,0,0,0,0,0,0,2,1, ,14,5,1,4,1, 
1,1,1,5,3,3,2,3,1,5,4,2,4,2,4,4,4,2,4,4,4,4,3,2,1,1,1,2, ,1,1,0,0,0,0,0,0,2,1, ,24,5,1,8,4, 
1,1,1,5,2,3,3,2,2,5,2,2,2,3,4,2,2,2,3,2,2,3,2,2,1,1,2,1, ,1,1,0,0,0,0,0,0,2,1, ,19,5,1,8,1, 
1,1,1,2,2,1,3,1,2,3,1,2,4,2,2,2,4,2,4,2,2,3,2,2,1,1,3,3, ,10,0,0,0,0,0,1,0,2,1, ,27,6,3,3,1, 
1,1,1,2,2,3,3,3,4,3,1,3,4,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2, ,10,1,0,0,0,0,0,0,1,1, ,16,5,3,7,4, 
1,1,1,2,2,1,3,3,2,3,1,3,4,1,2,1,1,1,4,1,2,4,2,1,1,1,1,1, ,4,1,0,0,0,0,0,0,1,1, ,8,6,2,4,1, 
1,1,1,2,2,1,3,2,1,3,3,1,2,2,2,1,3,2,3,2,2,3,1,1,1,1,4,1,Nation wide text,10,1,0,0,0,0,0,0,2,1, ,14,4,1,10,4, 
1,1,1,2,3,2,3,1,3,3,1,1,2,1,2,1,1,1,3,1,1,2,1,2,1,1,3,2, ,10,0,0,0,1,0,0,0,2,1, ,13,6,2,9,1, 
1,1,1,2,3,3,3,3,2,5,2,3,4,2,4,3,3,3,2,2,2,2,3,2,3,3,2,2, ,2,1,0,0,0,0,0,0,2,1, ,6,4,1,10,4, 
1,1,1,1,2,1,3,2,2,3,2,3,3,2,3,2,4,2,3,1,1,3,1,2,1,1,2,4, ,10,1,0,0,0,0,0,0,2,1, ,14,5,1,10,4, 
1,1,1,2,3,2,3,1,2,3,2,3,3,2,3,2,2,3,4,2,2,3,2,2,1,1,4,4, ,4,0,1,0,0,0,0,0,1,4, ,18,5,1,4,4, 
1,1,1,1,2,2,3,1,4,3,2,3,2,1,1,2,2,1,4,1,2,1,1,2,1,1,3,11,"TV, social media, and newspapers",5,1,0,0,0,0,0,0,2,1, ,24,5,1,7,4, 
1,1,1,2,2,3,3,1,2,3,2,4,4,3,4,2,2,4,4,2,2,4,4,1,2,2,3,2, ,4,1,0,0,0,0,0,0,2,1, ,18,5,1,7,4, 
1,1,1,5,3,3,3,2,4,5,2,3,3,2,2,1,3,1,5,1,1,2,1,2,1,1,2,2, ,3,1,0,0,0,0,0,0,2,1, ,14,5,1,7,1, 
1,1,1,2,2,2,3,3,3,3,1,2,3,2,2,2,2,1,2,1,1,1,1,1,1,1,4,4, ,8,0,0,0,0,1,0,0,2,1, ,13,6,4,3,4, 
1,1,1,2,3,1,2,2,2,3,3,2,4,2,2,3,4,2,4,2,2,2,2,1,1,1,1,3, ,2,1,0,0,0,0,0,0,1,1, ,12,5,1,8,1, 
1,1,1,2,2,3,3,3,3,3,3,3,3,2,2,3,2,2,3,2,2,2,2,2,1,1,3,4, ,8,0,0,0,0,0,1,0,2,1, ,27,5,1,7,4, 
1,1,1,2,3,3,3,3,4,5,2,3,3,2,2,3,3,2,3,2,2,3,2,2,1,1,4,1, ,3,1,0,0,0,0,0,0,1,1, ,7,4,1,6,1, 
1,1,1,2,3,3,3,2,2,3,2,3,5,3,4,3,3,2,5,1,1,3,2,2,1,1,3,6, ,1,1,0,0,0,0,0,0,1,1, ,24,5,1,8,1, 
1,1,1,2,3,1,3,1,2,3,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,2,11,"Tv,radio socail media AND leaflets",10,0,0,1,0,0,0,0,3,1, ,23,5,1,7,1, 
1,1,1,2,2,1,3,1,2,3,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,2,7, ,10,1,0,0,0,0,0,0,2,1, ,24,5,2,7,1, 
1,1,1,2,2,1,3,1,1,5,1,4,4,1,2,2,1,1,2,2,2,5,1,1,1,1,2,8, ,4,0,0,1,0,0,0,0,2,1, ,27,5,3,7,1, 
1,1,1,2,2,1,3,3,2,3,1,2,3,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1, ,4,0,0,1,0,0,0,0,2,1, ,7,5,3,10,1, 
1,2,2,2,2,1,3,1,2,3,1,3,4,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2, ,10,1,0,0,0,0,0,0,2,18,Portuguese,24,4,2,2,1, 
1,1,1,2,2,1,3,3,2,3,1,2,3,1,1,1,3,1,1,1,1,3,1,2,1,1,3,2, ,8,0,0,0,0,0,1,0,2,1, ,27,4,3,3,1, 
1,1,1,2,2,1,3,3,2,3,3,2,3,2,2,2,2,3,3,3,2,3,2,2,1,1,2,3, ,10,0,0,0,0,1,0,0,1,1, ,27,4,3,1,1, 
1,1,1,5,3,3,3,3,4,5,2,3,3,2,2,2,3,2,4,2,2,2,2,2,1,1,4,1, ,6,0,0,0,0,0,1,0,2,1, ,4,6,2,7,1, 
1,1,1,2,2,1,3,2,2,3,1,1,4,1,3,2,2,1,1,3,3,3,1,1,1,1,1,2, ,2,0,0,1,0,0,0,0,1,1, ,27,5,3,7,1, 
