,human_impact,economy_impact,resources_impact,environment_impact,knowledge,overall_bison_impacts,Q1_reintroduction,18_24,25_34,35_44,45_54,55_64,65_74,over_75,Q34_Placeofresidence,Q33_Educationlevel,Q29_gender,Q32_Occupation
0,8,10,12,18,7,44,5,0,0,0,0,1,0,0,3,5,1,27
1,6,11,9,24,7,47,5,0,1,0,0,0,0,0,2,5,2,8
2,7,12,10,25,6,52,5,1,0,0,0,0,0,0,4,6,1,8
3,7,10,9,17,7,40,4,0,0,0,0,0,1,0,3,6,1,7
4,9,9,12,19,7,45,4,0,0,0,0,1,0,0,2,6,1,7
6,8,12,12,21,6,49,4,0,1,0,0,0,0,0,1,5,2,2
7,9,11,14,22,7,51,5,0,0,1,0,0,0,0,3,5,1,8
8,10,9,13,24,7,51,5,1,0,0,0,0,0,0,1,5,2,23
9,8,12,9,23,7,48,4,0,1,0,0,0,0,0,2,6,2,8
10,6,10,13,18,5,42,3,0,0,0,0,0,1,0,3,6,2,8
11,8,9,10,14,6,37,2,0,0,0,0,1,0,0,1,5,2,16
12,6,9,8,15,7,36,3,0,0,0,0,1,0,0,4,5,2,8
13,9,10,11,19,5,45,4,0,0,0,0,1,0,0,2,6,2,8
15,5,8,8,11,7,30,2,0,0,0,0,1,0,0,5,6,1,8
16,5,8,6,12,6,29,2,0,0,1,0,0,0,0,4,5,1,8
17,7,10,10,15,7,39,3,0,0,1,0,0,0,0,4,6,1,8
18,8,10,8,22,7,45,5,0,1,0,0,0,0,0,3,6,1,8
19,9,10,12,24,6,51,5,0,0,0,0,1,0,0,4,6,1,27
20,7,12,11,22,7,49,5,0,1,0,0,0,0,0,1,5,3,2
21,8,11,13,21,6,48,5,0,0,0,0,1,0,0,4,6,1,12
22,9,11,12,20,6,48,5,1,0,0,0,0,0,0,1,4,2,14
23,7,13,7,18,7,43,5,0,1,0,0,0,0,0,2,6,2,16
24,10,10,14,25,3,54,5,0,0,1,0,0,0,0,1,6,1,8
25,7,10,9,18,7,40,5,1,0,0,0,0,0,0,1,5,1,27
26,6,10,10,18,6,42,4,1,0,0,0,0,0,0,2,5,2,8
27,7,12,10,23,6,50,5,0,1,0,0,0,0,0,1,6,1,8
29,6,8,10,17,4,38,3,1,0,0,0,0,0,0,3,5,1,12
30,6,10,10,13,6,35,3,0,0,0,0,1,0,0,3,3,2,27
32,7,12,9,18,6,44,5,0,0,1,0,0,0,0,1,5,2,8
33,6,10,10,16,6,40,4,0,0,0,0,0,1,0,2,3,2,27
34,8,11,12,20,7,47,5,0,0,1,0,0,0,0,3,4,2,25
35,7,10,10,20,5,44,5,0,0,0,0,0,1,0,3,5,2,17
36,10,12,13,23,4,53,5,0,0,0,0,0,1,0,1,5,2,27
37,6,10,7,16,7,36,4,0,0,0,0,1,0,0,5,6,1,8
38,8,12,13,21,4,51,5,0,0,0,0,1,0,0,3,5,1,16
40,9,10,11,23,6,49,5,0,1,0,0,0,0,0,1,6,2,8
41,6,10,8,21,4,42,4,0,0,1,0,0,0,0,4,6,1,2
42,7,8,7,12,7,31,2,0,0,0,1,0,0,0,5,5,2,9
43,8,12,11,18,4,45,5,0,0,0,1,0,0,0,1,6,2,13
44,7,9,10,11,6,35,4,1,0,0,0,0,0,0,2,4,2,14
46,10,12,14,25,6,56,5,0,0,1,0,0,0,0,3,5,2,27
47,9,13,12,22,7,52,5,1,0,0,0,0,0,0,1,4,2,7
48,5,12,10,21,7,46,5,0,0,0,0,0,1,0,3,6,2,27
49,10,12,11,19,7,47,5,1,0,0,0,0,0,0,1,6,1,24
51,9,10,11,22,6,48,5,0,1,0,0,0,0,0,1,5,1,14
52,8,9,7,23,7,44,5,0,1,0,0,0,0,0,5,6,2,24
53,7,10,8,14,7,36,3,0,1,0,0,0,0,0,4,5,1,8
54,8,8,10,15,4,37,3,1,0,0,0,0,0,0,2,5,1,24
55,9,12,11,23,5,51,5,1,0,0,0,0,0,0,3,5,1,24
56,8,12,11,21,7,48,4,0,0,1,0,0,0,0,4,6,2,8
57,6,12,10,22,6,47,5,0,0,0,1,0,0,0,2,5,2,7
58,9,13,12,24,5,54,5,0,1,0,0,0,0,0,1,5,2,18
59,9,11,13,21,5,49,5,0,0,0,0,0,1,0,3,5,1,27
60,7,12,11,23,7,51,5,0,1,0,0,0,0,0,3,6,1,8
61,7,11,9,18,6,42,4,0,0,0,0,0,1,0,4,5,1,27
63,8,13,13,23,7,53,5,0,0,0,0,0,1,0,2,4,2,15
64,10,14,11,22,5,52,5,0,1,0,0,0,0,0,4,5,1,23
65,8,14,10,22,4,50,5,0,1,0,0,0,0,0,2,6,2,8
66,10,12,12,24,6,53,5,0,0,0,0,0,1,0,1,5,2,27
67,7,10,8,20,7,43,5,0,1,0,0,0,0,0,1,6,2,24
68,9,10,11,19,5,45,4,1,0,0,0,0,0,0,3,6,1,24
69,7,11,10,22,4,47,4,0,1,0,0,0,0,0,1,5,1,7
71,8,11,10,23,6,48,5,1,0,0,0,0,0,0,1,5,3,14
72,10,14,15,25,7,59,5,1,0,0,0,0,0,0,1,5,2,2
73,5,9,6,16,6,34,3,1,0,0,0,0,0,0,5,6,1,9
74,10,11,12,21,7,49,5,1,0,0,0,0,0,0,1,5,2,14
75,10,11,14,21,6,51,5,1,0,0,0,0,0,0,2,6,1,2
77,8,11,10,20,5,45,5,1,0,0,0,0,0,0,3,6,1,24
78,7,12,10,21,6,47,4,1,0,0,0,0,0,0,4,5,1,24
79,8,10,11,13,3,38,4,1,0,0,0,0,0,0,1,5,2,14
80,8,11,11,18,6,44,4,1,0,0,0,0,0,0,1,5,1,7
81,8,11,9,19,4,43,4,1,0,0,0,0,0,0,1,5,1,9
83,9,10,10,16,4,41,4,1,0,0,0,0,0,0,1,5,1,24
84,8,13,10,17,5,44,5,1,0,0,0,0,0,0,1,5,2,2
86,8,10,10,17,3,42,4,1,0,0,0,0,0,0,2,4,2,14
88,9,11,11,18,5,44,5,1,0,0,0,0,0,0,3,5,1,24
89,10,13,14,25,4,57,5,0,0,0,1,0,0,0,2,5,1,27
90,6,10,7,15,4,36,4,0,0,1,0,0,0,0,2,6,1,7
92,6,9,8,15,4,36,4,1,0,0,0,0,0,0,1,6,2,24
93,7,10,11,16,5,40,4,1,0,0,0,0,0,0,1,6,1,14
94,5,11,10,19,7,43,4,0,0,0,0,1,0,0,3,4,2,27
96,7,9,11,20,5,44,4,0,1,0,0,0,0,0,1,5,1,13
97,10,12,13,20,5,50,5,1,0,0,0,0,0,0,1,5,2,14
99,6,12,10,17,3,43,4,1,0,0,0,0,0,0,1,5,2,19
100,8,11,10,17,7,42,4,0,0,0,0,0,1,0,3,6,2,27
101,10,12,13,24,4,54,5,1,0,0,0,0,0,0,3,5,1,16
102,8,12,12,19,6,47,4,1,0,0,0,0,0,0,2,6,1,8
103,8,12,12,18,5,46,5,1,0,0,0,0,0,0,1,4,2,14
104,9,14,14,22,4,55,5,0,0,0,1,0,0,0,2,6,2,13
105,6,9,8,19,3,40,3,1,0,0,0,0,0,0,1,4,2,6
106,8,11,8,19,5,43,5,1,0,0,0,0,0,0,1,5,2,14
107,7,11,10,16,5,41,4,0,1,0,0,0,0,0,1,5,1,18
108,9,12,12,22,4,50,5,1,0,0,0,0,0,0,1,5,2,24
109,6,10,8,13,6,35,2,1,0,0,0,0,0,0,1,5,2,18
111,9,12,12,23,4,52,5,0,0,0,0,1,0,0,4,6,2,13
112,8,8,10,18,4,40,4,1,0,0,0,0,0,0,1,5,1,12
113,8,9,11,19,4,43,4,0,0,0,0,0,1,0,1,5,2,27
115,7,8,8,16,4,37,4,1,0,0,0,0,0,0,1,5,1,24
116,8,13,12,25,6,55,5,0,0,1,0,0,0,0,1,5,3,23
117,10,12,15,25,7,57,5,1,0,0,0,0,0,0,2,5,2,24
118,8,11,11,19,5,45,5,0,0,1,0,0,0,0,3,5,2,27
119,10,13,13,24,6,55,5,0,0,1,0,0,0,0,3,5,2,7
120,9,12,11,25,7,53,5,1,0,0,0,0,0,0,2,4,2,24
121,10,13,12,23,6,53,5,0,0,0,0,0,1,0,3,4,2,27
122,8,10,12,16,6,42,4,0,0,0,0,1,0,0,3,4,1,27
124,6,11,12,21,6,47,5,0,0,1,0,0,0,0,3,5,1,27
125,8,13,12,20,5,49,5,0,1,0,0,0,0,0,3,6,3,8
126,9,12,11,23,7,51,5,0,0,0,0,1,0,0,2,5,2,27
127,10,14,14,24,6,57,5,0,0,1,0,0,0,0,1,6,2,7
128,7,12,8,21,7,46,4,0,1,0,0,0,0,0,3,5,2,27
129,9,13,11,21,5,50,5,0,0,0,1,0,0,0,3,6,2,8
130,10,12,13,21,7,51,5,0,0,0,0,1,0,0,2,5,2,13
131,9,8,13,14,6,39,4,1,0,0,0,0,0,0,1,5,2,1
132,9,8,12,21,4,46,5,0,0,1,0,0,0,0,3,4,1,4
133,6,11,9,20,6,43,4,0,0,0,0,1,0,0,2,5,1,27
134,8,13,11,23,7,51,5,0,0,0,0,0,1,0,1,5,1,27
136,9,12,11,22,6,50,5,0,0,0,0,1,0,0,3,6,2,8
137,8,10,11,20,6,45,5,0,0,0,0,0,0,1,2,4,2,27
138,8,10,10,18,6,42,3,0,0,0,0,0,0,1,2,4,2,27
139,10,13,14,23,5,55,5,0,0,0,0,1,0,0,2,4,2,6
140,10,14,14,25,6,58,5,0,0,0,0,0,1,0,4,4,1,16
141,10,11,14,21,6,51,5,0,0,0,0,0,1,0,3,4,1,27
142,10,12,15,24,7,56,5,0,0,0,0,0,1,0,2,2,2,27
143,9,12,9,19,5,45,5,0,0,0,0,0,1,0,5,6,2,7
144,10,13,15,25,6,58,5,0,0,0,0,0,1,0,3,5,2,9
145,8,11,13,22,6,50,5,0,0,1,0,0,0,0,3,5,1,27
146,6,10,10,18,6,41,4,0,0,0,1,0,0,0,2,5,5,27
148,8,10,8,19,4,42,4,1,0,0,0,0,0,0,1,5,1,24
149,9,12,11,21,5,49,3,0,0,0,0,1,0,0,3,4,1,27
150,10,14,15,25,6,59,5,0,0,1,0,0,0,0,3,5,2,4
152,9,10,10,21,6,46,5,0,0,1,0,0,0,0,3,5,2,8
153,10,13,15,25,6,58,5,0,0,0,0,0,1,0,2,6,2,27
154,7,11,9,15,6,39,3,0,0,1,0,0,0,0,4,4,1,8
155,9,14,10,24,6,53,5,0,0,0,0,0,1,0,2,6,2,27
156,7,11,10,16,6,41,5,0,0,0,0,1,0,0,3,6,2,7
157,7,9,11,18,4,41,4,0,0,0,0,1,0,0,1,3,1,27
158,9,11,13,21,7,49,5,0,1,0,0,0,0,0,3,4,2,27
159,10,12,14,25,7,56,5,0,0,1,0,0,0,0,2,4,2,8
160,5,8,8,12,7,30,1,0,0,0,0,0,1,0,3,3,1,27
161,9,11,12,20,7,48,4,0,0,0,0,1,0,0,3,6,2,17
162,8,11,10,19,6,44,4,0,0,0,0,1,0,0,3,5,1,5
163,8,11,11,25,7,52,5,0,0,0,1,0,0,0,2,5,2,7
165,8,12,12,20,7,48,4,0,0,0,1,0,0,0,2,5,1,7
167,10,11,14,23,5,53,5,0,0,0,1,0,0,0,3,6,1,27
169,7,10,9,16,6,39,4,0,0,1,0,0,0,0,2,6,1,9
171,10,13,15,24,5,57,5,0,1,0,0,0,0,0,3,6,1,16
174,9,14,14,25,6,58,5,1,0,0,0,0,0,0,1,5,2,8
175,7,11,10,18,6,43,4,0,0,0,0,1,0,0,4,4,2,25
176,6,11,12,18,7,43,4,0,0,0,0,0,1,0,3,4,1,5
177,8,12,13,21,3,49,3,1,0,0,0,0,0,0,1,5,1,15
178,7,10,11,19,6,44,5,0,0,0,1,0,0,0,3,4,2,8
179,8,11,9,22,7,47,5,0,0,0,0,1,0,0,5,3,1,27
181,8,12,9,24,4,50,5,0,0,1,0,0,0,0,2,5,2,27
182,6,12,10,20,7,46,5,0,0,1,0,0,0,0,2,4,2,8
183,8,12,9,20,7,46,5,1,0,0,0,0,0,0,5,5,1,17
184,8,14,9,25,7,52,5,1,0,0,0,0,0,0,3,5,2,24
185,10,13,13,23,7,54,5,0,0,0,1,0,0,0,3,5,1,27
186,8,9,10,19,6,43,5,0,0,1,0,0,0,0,5,5,1,7
187,9,12,10,21,7,48,5,0,0,1,0,0,0,0,1,5,2,19
188,7,9,11,21,5,44,3,0,0,0,1,0,0,0,3,6,1,26
190,7,9,9,21,5,43,5,0,0,1,0,0,0,0,3,5,1,26
191,9,10,11,23,6,49,5,1,0,0,0,0,0,0,3,6,1,9
192,9,13,14,19,4,50,5,0,0,0,0,0,1,0,3,5,2,6
193,7,13,12,21,5,49,4,0,0,1,0,0,0,0,2,5,1,14
194,7,12,11,25,6,52,5,0,0,0,1,0,0,0,1,5,2,26
195,10,14,15,25,6,59,5,0,0,0,0,0,1,0,5,5,2,2
196,6,11,10,18,7,42,4,0,0,0,1,0,0,0,4,4,2,8
197,9,12,12,24,7,53,5,0,0,1,1,0,0,0,3,6,2,27
199,5,10,8,10,5,30,3,0,0,0,0,1,0,0,1,6,2,15
200,10,10,13,22,6,50,5,0,0,1,0,0,0,0,2,6,2,1
202,10,14,15,24,7,58,5,0,0,1,0,0,0,0,3,6,2,18
204,8,13,9,21,7,48,5,0,0,0,0,1,0,0,2,5,2,3
205,10,11,12,15,3,43,4,1,0,0,0,0,0,0,1,5,2,12
206,8,13,11,23,6,52,5,0,0,1,0,0,0,0,2,5,1,4
207,6,11,12,19,3,44,4,0,0,0,0,1,0,0,3,3,2,27
208,9,11,12,21,6,49,4,0,0,1,0,0,0,0,2,5,2,6
209,8,13,10,18,6,45,5,0,0,0,0,0,0,1,2,4,2,27
210,8,9,10,17,6,40,3,0,0,0,0,1,0,0,2,5,2,8
211,8,13,8,20,4,46,5,0,1,0,0,0,0,0,5,5,5,9
212,10,12,14,21,7,52,4,0,0,0,0,1,0,0,3,4,2,9
214,9,11,9,19,6,44,5,0,0,0,0,0,1,0,3,5,2,27
215,8,12,11,21,3,48,5,0,0,0,0,1,0,0,3,5,1,7
217,9,14,10,18,6,47,5,0,0,0,0,1,0,0,3,4,1,27
218,9,10,14,21,7,50,5,0,0,0,1,0,0,0,1,5,2,27
219,9,10,12,22,3,49,5,0,0,0,0,0,1,0,4,5,2,27
220,7,14,10,25,4,54,5,0,0,1,0,0,0,0,2,5,2,6
221,10,13,14,25,6,57,5,0,0,0,1,0,0,0,2,6,1,13
222,10,11,15,24,7,55,5,0,0,0,0,1,0,0,5,5,2,27
223,7,9,10,19,5,42,5,0,0,0,1,0,0,0,3,4,1,19
224,10,13,15,25,7,58,5,0,1,0,0,0,0,0,1,4,1,19
225,10,13,15,19,6,52,5,0,0,0,0,1,0,0,3,6,1,8
226,6,10,10,22,7,46,4,0,0,0,0,1,0,0,1,5,2,8
227,9,11,13,22,4,50,5,0,0,1,0,0,0,0,4,6,1,5
228,8,12,11,22,4,49,4,1,0,0,0,0,0,0,1,6,1,24
230,6,11,9,16,5,39,4,0,0,0,0,1,0,0,1,5,1,5
231,5,9,10,19,3,40,4,0,0,0,0,1,0,0,1,6,1,2
232,7,11,12,20,4,46,4,0,0,0,0,1,0,0,1,6,1,7
233,10,12,14,24,7,55,5,0,0,0,0,1,0,0,1,5,1,5
235,7,12,9,20,4,45,5,0,0,0,1,0,0,0,3,6,1,7
237,7,10,8,18,7,40,5,1,0,0,0,0,0,0,1,5,1,8
238,9,12,13,20,4,50,5,0,0,1,0,0,0,0,2,6,1,13
239,7,13,9,20,5,46,5,1,0,0,0,0,0,0,2,6,1,8
241,6,13,12,19,7,48,5,0,1,0,0,0,0,0,1,6,2,8
242,8,11,10,19,4,44,5,1,0,0,0,0,0,0,1,5,1,23
243,8,12,12,19,5,47,5,1,0,0,0,0,0,0,1,5,5,19
244,10,13,15,25,7,58,5,0,0,0,0,0,1,0,2,5,2,14
245,9,12,14,20,4,50,5,0,1,0,0,0,0,0,1,6,1,7
247,8,12,11,20,6,47,5,0,0,1,0,0,0,0,1,5,1,8
248,8,13,11,17,5,45,4,0,1,0,0,0,0,0,2,5,1,13
249,8,13,10,23,7,51,5,0,1,0,0,0,0,0,1,5,2,4
250,10,13,12,22,6,52,5,0,0,0,1,0,0,0,2,6,1,4
251,8,12,7,21,5,45,5,0,0,0,0,1,0,0,3,5,2,27
252,9,12,11,24,6,52,4,0,1,0,0,0,0,0,4,6,1,8
253,7,10,9,18,6,42,5,1,0,0,0,0,0,0,2,5,1,24
254,9,12,12,24,7,53,5,0,1,0,0,0,0,0,2,6,1,8
255,7,13,8,21,7,47,5,1,0,0,0,0,0,0,1,3,5,12
256,6,12,8,17,7,41,5,1,0,0,0,0,0,0,3,6,2,17
258,8,12,11,21,7,49,5,1,0,0,0,0,0,0,3,5,1,7
259,7,12,9,20,5,45,4,0,0,0,0,0,1,0,5,6,2,27
260,9,14,12,24,6,55,5,0,0,1,0,0,0,0,5,6,1,8
261,9,9,12,22,6,48,5,1,0,0,0,0,0,0,2,4,2,24
262,7,13,8,21,6,47,5,0,0,0,1,0,0,0,4,5,2,8
263,8,13,12,18,5,47,4,0,0,0,0,0,1,0,3,6,2,27
265,5,11,10,19,7,43,4,0,0,0,0,1,0,0,3,5,1,7
266,9,12,13,22,5,52,5,0,0,0,0,1,0,0,1,5,1,27
267,8,12,9,21,7,47,4,1,0,0,0,0,0,0,2,5,1,24
268,8,12,9,17,7,42,5,0,0,0,0,0,1,0,5,5,2,27
269,9,13,11,21,4,50,5,0,0,0,0,1,0,0,5,5,2,14
270,8,11,12,17,5,44,4,0,0,0,1,0,0,0,2,5,2,19
271,8,10,11,18,7,43,4,0,0,0,0,1,0,0,3,5,2,8
272,6,11,9,17,6,40,4,0,1,0,0,0,0,0,3,5,1,24
273,8,11,7,16,6,39,5,0,1,0,0,0,0,0,1,5,1,14
274,9,12,11,21,3,49,5,0,0,0,0,0,1,0,5,5,1,27
275,10,13,13,21,6,52,5,0,0,0,0,1,0,0,3,6,2,8
276,8,10,12,18,5,44,4,0,0,1,0,0,0,0,1,6,1,7
277,6,9,6,11,7,30,3,0,0,0,0,1,0,0,5,5,1,9
278,6,13,9,20,6,46,5,0,0,0,1,0,0,0,2,6,2,8
280,10,12,12,22,7,51,5,0,1,0,0,0,0,0,2,5,1,11
281,9,13,11,20,5,49,5,0,0,1,0,0,0,0,4,4,2,3
285,8,9,9,10,7,32,3,1,0,0,0,0,0,0,5,5,1,8
286,10,9,14,25,7,53,5,0,0,0,0,1,0,0,5,5,1,13
287,7,11,10,20,7,46,4,0,0,0,1,0,0,0,1,5,2,24
289,6,12,10,18,6,44,5,0,1,0,0,0,0,0,1,6,1,24
290,9,13,11,21,7,50,5,0,0,0,0,1,0,0,1,6,2,7
291,9,12,11,21,6,49,5,0,0,1,0,0,0,0,5,5,1,20
292,8,12,12,22,7,51,5,0,0,0,1,0,0,0,3,6,1,8
293,8,9,8,13,5,34,3,0,0,0,0,1,0,0,2,3,2,18
294,9,14,13,19,7,50,5,0,0,0,0,1,0,0,4,4,1,2
295,8,10,12,18,4,44,4,0,0,1,0,0,0,0,3,5,2,14
296,8,13,11,20,6,49,4,0,1,0,0,0,0,0,3,5,2,5
297,8,12,12,20,6,48,3,0,0,1,0,0,0,0,2,5,2,5
298,9,11,13,20,4,48,5,0,0,1,0,0,0,0,1,6,2,17
299,9,12,11,23,5,51,5,0,0,0,0,1,0,0,5,5,2,8
300,8,10,13,20,7,47,4,1,0,0,0,0,0,0,2,4,1,24
301,10,14,14,23,5,56,5,0,0,1,0,0,0,0,1,4,2,18
302,9,9,13,19,4,45,5,0,0,0,0,1,0,0,3,4,1,18
303,7,10,10,18,6,42,4,0,0,1,0,0,0,0,5,6,1,8
305,9,12,14,22,7,53,5,0,0,0,1,0,0,0,3,5,1,8
307,7,12,9,18,7,43,4,0,0,0,0,1,0,0,1,4,1,8
309,10,13,14,23,5,55,5,0,1,0,0,0,0,0,3,5,1,27
310,7,13,12,21,6,49,5,0,0,0,0,0,1,0,3,5,2,27
313,10,14,14,21,6,54,5,1,0,0,0,0,0,0,1,5,2,1
316,10,14,14,23,4,56,5,0,0,1,0,0,0,0,3,4,1,27
317,9,9,13,24,5,51,5,0,1,0,0,0,0,0,4,4,5,14
318,8,12,11,24,5,52,5,0,1,0,0,0,0,0,1,6,1,17
319,7,10,10,16,3,39,4,0,1,0,0,0,0,0,1,5,1,4
320,8,10,10,16,4,40,4,1,0,0,0,0,0,0,2,3,1,2
321,9,12,10,20,7,47,5,0,0,0,0,1,0,0,3,6,2,22
322,8,10,10,22,6,46,5,0,0,0,0,0,0,1,3,5,2,8
323,7,13,8,20,7,45,4,0,0,0,0,1,0,0,3,5,1,13
324,9,13,12,18,7,48,5,0,1,0,0,0,0,0,2,4,2,27
325,8,9,11,25,6,49,5,0,0,0,1,0,0,0,2,6,1,8
326,8,12,9,23,6,48,5,0,0,0,0,1,0,0,4,6,1,27
327,10,13,13,21,5,52,5,0,0,1,0,0,0,0,2,4,2,22
329,8,11,9,21,5,46,5,0,0,0,0,1,0,0,3,6,1,8
330,7,14,9,20,5,48,5,0,0,0,1,0,0,0,3,6,2,8
331,7,9,11,18,4,41,4,0,0,0,0,1,0,0,2,5,2,7
332,10,11,13,25,5,54,5,0,0,1,0,0,0,0,2,4,2,27
333,8,10,9,15,7,38,3,0,0,0,0,1,0,0,5,6,2,8
334,10,11,15,23,5,54,4,0,0,1,0,0,0,0,3,3,2,27
335,8,12,12,20,7,47,5,0,0,1,0,0,0,0,2,5,1,12
337,8,10,9,16,5,39,4,0,0,0,0,0,0,1,4,6,1,27
338,8,13,10,21,6,49,5,0,0,1,0,0,0,0,3,6,1,8
341,7,11,10,20,6,45,4,0,0,0,1,0,0,0,3,5,1,7
342,6,14,10,23,6,50,5,0,0,0,1,0,0,0,4,5,5,7
343,6,8,5,12,6,30,2,0,0,0,0,1,0,0,5,6,2,8
344,8,11,12,20,6,47,5,0,0,0,1,0,0,0,3,6,1,13
345,9,12,12,23,5,52,5,0,0,0,1,0,0,0,2,6,2,27
346,8,11,9,19,7,44,5,0,0,0,0,1,0,0,1,6,2,6
348,9,12,11,21,6,49,5,0,0,1,0,0,0,0,2,4,2,5
349,10,11,15,14,3,45,4,0,0,1,0,0,0,0,1,5,1,13
350,8,13,11,20,6,48,4,0,0,0,1,0,0,0,3,5,1,7
351,9,12,13,19,5,48,4,1,0,0,0,0,0,0,1,6,1,24
353,8,11,10,21,7,47,5,0,0,0,0,1,0,0,5,5,2,4
354,8,11,12,22,7,49,5,0,0,1,0,0,0,0,1,6,2,27
355,8,11,11,20,6,46,4,0,0,0,0,0,1,0,4,4,1,27
357,5,8,7,13,7,31,3,0,0,0,0,0,1,0,5,4,2,27
358,7,13,13,22,5,51,5,0,1,0,0,0,0,0,1,5,2,13
359,9,10,11,18,5,44,4,0,0,0,0,1,0,0,5,6,1,7
361,9,13,14,24,7,56,5,0,1,0,0,0,0,0,2,5,1,24
363,10,14,15,25,7,59,5,0,0,0,0,1,0,0,2,6,1,27
364,10,10,14,20,7,49,5,0,1,0,0,0,0,0,1,6,3,8
365,9,9,11,21,5,46,4,0,1,0,0,0,0,0,2,5,1,27
366,6,13,11,22,7,50,5,0,0,0,0,1,0,0,2,5,3,13
367,10,12,14,24,6,55,5,0,0,0,1,0,0,0,2,4,2,25
368,6,8,9,14,3,34,2,0,0,0,0,1,0,0,4,5,1,27
369,8,10,9,12,3,36,5,1,0,0,0,0,0,0,1,6,2,24
370,10,14,14,25,6,58,5,0,1,0,0,0,0,0,2,6,1,2
371,8,12,12,20,7,48,5,0,1,0,0,0,0,0,2,6,3,2
372,7,11,9,17,5,41,4,0,0,0,0,1,1,0,3,5,1,8
373,9,11,10,20,4,46,5,0,0,0,0,1,0,0,4,6,2,8
374,5,9,6,17,7,35,3,0,1,0,0,0,0,0,4,6,2,17
376,9,11,10,21,7,47,5,1,0,0,0,0,0,0,1,5,1,24
377,10,8,15,23,3,51,5,0,1,0,0,0,0,0,2,6,1,23
378,9,14,10,23,4,52,5,0,0,0,0,0,0,1,1,5,1,27
381,7,11,11,20,6,45,4,0,0,0,0,1,0,0,2,3,1,12
382,5,10,6,17,7,36,4,1,0,0,0,0,0,0,5,6,1,24
383,9,12,12,22,4,51,5,0,0,0,0,0,1,0,3,6,1,8
384,7,9,10,16,3,39,4,0,0,0,0,1,0,0,5,5,2,1
385,8,10,13,22,7,48,5,0,0,0,0,0,1,0,2,4,1,7
386,8,12,12,22,6,50,5,0,0,0,1,0,0,0,3,5,1,7
387,7,8,7,17,7,37,2,0,0,0,0,0,1,0,3,4,1,27
